0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:02:43 +0900] "GET /03_javascript/day03/ex06_window.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:02:43 +0900] "GET /03_javascript/day03/notice.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:06:04 +0900] "GET /03_javascript/day03/ex06_window.html HTTP/1.1" 200 1469
0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:06:04 +0900] "GET /03_javascript/day03/notice.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:06:12 +0900] "GET /03_javascript/day03/ex06_window.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:07:07 +0900] "GET /03_javascript/day03/ex06_window.html HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:07:07 +0900] "GET /03_javascript/day03/notice.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:07:19 +0900] "GET /03_javascript/day03/ex06_window.html HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:07:34 +0900] "GET /03_javascript/day03/ex06_window.html HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:07:34 +0900] "GET /03_javascript/day03/notice.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:07:46 +0900] "GET /03_javascript/day03/ex06_window.html HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:08:11 +0900] "GET /03_javascript/day03/ex06_window.html HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:08:11 +0900] "GET /03_javascript/day03/notice.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:08:15 +0900] "GET /03_javascript/day03/ex06_window.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:09:20 +0900] "GET /03_javascript/day03/ex06_window.html HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:09:20 +0900] "GET /03_javascript/day03/notice.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:09:29 +0900] "GET /03_javascript/day03/ex06_window.html HTTP/1.1" 200 1479
0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:10:32 +0900] "GET /03_javascript/day03/ex06_window.html HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:10:32 +0900] "GET /03_javascript/day03/notice.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:10:37 +0900] "GET /03_javascript/day03/ex06_window.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:10:38 +0900] "GET /03_javascript/day03/ex06_window.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:10:41 +0900] "GET /03_javascript/day03/ex06_window.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:11:25 +0900] "GET /03_javascript/day03/ex06_window.html HTTP/1.1" 200 1243
